"replicate","arm","all_quantile_log_rmse","extreme_quantile_log_rmse"
146,"Lognormal fit",0.96230048903927,1.49875492106157
147,"Lognormal fit",0.647266365748097,1.01615912709631
148,"Lognormal fit",0.67429191823248,1.05660669990753
149,"Lognormal fit",0.518672075394897,0.809271920887913
150,"Lognormal fit",0.893524530619332,1.38690030021143
151,"Lognormal fit",1.12147126826482,1.73384982707723
152,"Lognormal fit",0.565932549330195,0.886014704041492
153,"Lognormal fit",0.215298719359885,0.280748564146119
154,"Lognormal fit",0.683499658582265,1.05291747785971
155,"Lognormal fit",0.501829303683654,0.774729856842536
156,"Lognormal fit",0.947607655667382,1.48057369037563
157,"Lognormal fit",0.657742624173216,1.01842337901121
158,"Lognormal fit",0.788167685898351,1.21706668486178
159,"Lognormal fit",0.817520005942774,1.28325045843876
160,"Lognormal fit",0.74004656482952,1.160442317077
161,"Lognormal fit",0.580722653732596,0.896731936027802
162,"Lognormal fit",1.11651509955233,1.72615867960518
163,"Lognormal fit",0.758107321330372,1.18874118671942
164,"Lognormal fit",0.503164300300871,0.778467016090794
165,"Lognormal fit",0.702324892890001,1.09936005985191
166,"Lognormal fit",0.285051371208953,0.431048891466473
167,"Lognormal fit",0.608403639737515,0.93806287680777
168,"Lognormal fit",0.723533439340671,1.13839179947327
169,"Lognormal fit",0.723238634446103,1.13369880555744
170,"Lognormal fit",0.760660390870453,1.19360005961159
171,"Lognormal fit",0.448058680748085,0.701627170526366
172,"Lognormal fit",0.92732345346864,1.44990870569021
173,"Lognormal fit",0.774571037693326,1.21471017633547
174,"Lognormal fit",0.737718931033592,1.15819185788892
175,"Lognormal fit",0.434810333749869,0.60073623583739
176,"Lognormal fit",0.98165192579465,1.52183840818465
177,"Lognormal fit",0.445428562399872,0.693118166132351
178,"Lognormal fit",0.877075021283385,1.37159790629801
179,"Lognormal fit",0.66183325043225,1.03403896188848
180,"Lognormal fit",0.650853213566084,1.01167601356111
181,"Lognormal fit",0.918380677110721,1.43071280991401
182,"Lognormal fit",0.688598392493504,1.08043957867835
183,"Lognormal fit",0.734584086431147,1.14783711493433
184,"Lognormal fit",0.851389744201983,1.33595902339427
185,"Lognormal fit",0.673251058716731,1.04208625757137
186,"Lognormal fit",0.567838260977402,0.883093714430147
187,"Lognormal fit",0.772798459615792,1.19592762620074
188,"Lognormal fit",0.814382048623004,1.27605662215413
189,"Lognormal fit",0.981115789254782,1.52260098915253
190,"Lognormal fit",0.659523230825634,1.03186905483818
