"replicate","arm_gaussian","family_gaussian","shape_gaussian","sd_gaussian","tail_probability_gaussian","V_gaussian","CL_gaussian","residual_gaussian","log_likelihood_gaussian","likelihood_mcse_gaussian","runtime_seconds_gaussian","selection_seconds_gaussian","selected_families_gaussian","retained_standard_gaussian","arm_flexible","family_flexible","shape_flexible","sd_flexible","tail_probability_flexible","V_flexible","CL_flexible","residual_flexible","log_likelihood_flexible","likelihood_mcse_flexible","runtime_seconds_flexible","selection_seconds_flexible","selected_families_flexible","retained_standard_flexible","likelihood_gain","likelihood_difference_mcse","runtime_ratio"
177,"Lognormal fit","lognormal",NA,2.92834209898306,0.09064,19.8982178474604,3.45348964598554,0.123532093643613,-127.217045536326,0.477689879606478,32.5099999999993,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",3.03264259302296,2.39404906071348,0.07199,20.0870675369798,3.49672564664703,0.123494090381191,-121.772649788179,0.505305076161962,57.6800000000003,80.5799999999999,"lognormal/gamma",FALSE,5.44439574814635,0.69535662869746,1.77422331590285
178,"Lognormal fit","lognormal",NA,3.38156862447036,0.11603,19.9521468194446,3.59241292118217,0.118287011315681,11.6685915210608,0.521102939554842,25.6599999999999,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.71518456950309,2.65080303480943,0.09667,20.5256679030099,3.57341239091154,0.118281003946669,14.7707668309997,0.558146183436842,57.4799999999996,76.5799999999999,"lognormal/gamma",FALSE,3.10217530993896,0.763593763527315,2.24006235385814
179,"Lognormal fit","lognormal",NA,3.32823703498607,0.10251,19.896799196518,3.31922610049208,0.119538993541256,-120.945194636046,0.505974374090107,25.6400000000003,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.15669215500049,2.89929423551463,0.10548,19.9031704745945,3.33911832173022,0.11930076940827,-111.306506896701,0.517675003806152,33.9200000000001,52.5200000000004,"lognormal/gamma",FALSE,9.63868773934539,0.723876699999092,1.32293291731668
180,"Lognormal fit","lognormal",NA,3.23338450310252,0.09784,20.4108099121042,3.32909150959098,0.119479572600185,-145.935813855897,0.486063850148882,15.2299999999996,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.3631182875024,2.79794011992138,0.10192,20.6531045247098,3.41741431394209,0.119593447358913,-140.582332835876,0.506595774137352,30.3900000000003,38.25,"lognormal/gamma",FALSE,5.35348102002109,0.702066481748971,1.99540380827322
181,"Lognormal fit","lognormal",NA,3.641241895917,0.13318,20.0847014618014,3.70538972077,0.118105787334937,49.8945700622753,0.537687486227938,43.6000000000004,0,"lognormal/lognormal",FALSE,"Free-margin fit","lognormal",NA,3.66459480631317,0.13327,20.0847014618014,3.70538972077,0.118105787334937,49.8945700622753,0.537687486227938,0,323.93,"lognormal/lognormal",TRUE,0,0.760404935341847,0
182,"Lognormal fit","lognormal",NA,3.05643056796687,0.0975,20.3819885230704,3.47416591009065,0.118463230718237,-47.7190159999297,0.505370209777629,36.71,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.70226079972655,2.64246830886454,0.09404,20.2298099635489,3.54209867326201,0.118243388062771,-44.983872810412,0.52638286118353,80.3800000000001,106.51,"lognormal/gamma",FALSE,2.73514318951766,0.729710878004737,2.18959411604468
183,"Lognormal fit","lognormal",NA,3.35355637871215,0.11465,19.5516881655613,3.58410052297409,0.119465135693705,-25.9787588384963,0.52403518115741,38.4899999999998,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.53568909612648,2.79748343763594,0.10887,19.513105764581,3.60863466944529,0.1194717199452,-21.219186363132,0.570936097829477,84.6100000000001,86.8600000000001,"lognormal/gamma",FALSE,4.7595724753643,0.774971547152171,2.19823330735258
184,"Lognormal fit","lognormal",NA,3.43191070715178,0.11364,19.8661975001559,3.48327110071495,0.120421599850575,-46.226170232778,0.511084990922684,31.4099999999999,0,"lognormal/lognormal",FALSE,"Free-margin fit","lognormal",NA,3.47199535749053,0.11278,19.8661975001559,3.48327110071495,0.120421599850575,-46.226170232778,0.511084990922684,0,348.5,"lognormal/lognormal",TRUE,0,0.72278332568819,0
185,"Lognormal fit","lognormal",NA,3.1728139771197,0.11537,19.8835096581753,3.76240257086145,0.122511465292599,28.1682185836926,0.510775070992557,37.2700000000004,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.84043620940941,2.74054731317442,0.11228,19.9818411145301,3.82935465428465,0.12263220875695,32.0691324775096,0.598672769436291,76.71,89.8800000000001,"lognormal/gamma",FALSE,3.90091389381707,0.786956325352284,2.05822377247113
186,"Lognormal fit","lognormal",NA,3.26419313887362,0.10314,20.2178291205574,3.35930420585873,0.117326449189472,-108.30312452569,0.500891280729271,32.1400000000003,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.58561772463257,2.57298137203285,0.0826,20.5625077580041,3.35666103223732,0.117444663428709,-101.526262893762,0.508678904317873,82,102.5,"lognormal/gamma",FALSE,6.77686163192722,0.713895162337329,2.5513378967019
187,"Lognormal fit","lognormal",NA,3.54108066034409,0.12848,20.0680342425826,3.71813762005748,0.116502369270631,67.2859887003007,0.5164557897335,37.96,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.39532202246936,3.15474412827455,0.14922,20.3669249352117,3.89585446335974,0.116561330085457,69.9761025058944,0.556084941818945,78.1899999999996,90.3900000000003,"lognormal/gamma",FALSE,2.69011380559374,0.758918338997703,2.05979978925183
