"arm","probability","CRP","lower_100","median_100","upper_100","lower_all","median_all","upper_all","change_lower","change_median","change_upper"
"flexible",0.513830188679245,34.45783560225,2.93616090171212,3.01791882285749,3.11776864986789,2.92324266547779,3.01423310262016,3.12225642079098,-0.012918236234325,-0.00368572023732661,0.00448777092309749
"flexible",0.520050314465409,34.8639724466324,2.94417220694133,3.0264216763299,3.12645674494596,2.93054753627583,3.02277917129866,3.13112865028679,-0.0136246706654966,-0.00364250503124275,0.00467190534083173
"flexible",0.526270440251572,35.2736562278499,2.9518202538208,3.03495542501049,3.13517577365922,2.93787641119374,3.03137590401491,3.14003282221078,-0.0139438426270537,-0.00357952099557934,0.00485704855155422
"flexible",0.532490566037736,35.6870063609185,2.95915358549303,3.04352229968612,3.14392801052411,2.94523118601012,3.03996681885197,3.14897126229847,-0.0139223994829112,-0.00355548083414314,0.0050432517743646
"flexible",0.538710691823899,36.1041461947953,2.96651473939806,3.05212457092323,3.15271577004369,2.95362186657503,3.0492560397278,3.15794633749449,-0.0128928728230338,-0.00286853119542885,0.00523056745080019
"flexible",0.544930817610063,36.5252032573823,2.97390567246892,3.06095835322985,3.16154141098366,2.96311622386649,3.0583199379815,3.16696046032906,-0.0107894486024263,-0.00263841524835318,0.00541904934539739
"flexible",0.551150943396227,36.9503095155721,2.98132838032654,3.07022532763283,3.17060016641618,2.97064492180289,3.06814836732737,3.17601609347072,-0.0106834585236482,-0.00207696030545756,0.00541592705453864
"flexible",0.55737106918239,37.3796016516968,2.98878490110126,3.07961798151775,3.18021524616948,2.97820831639365,3.07688552507847,3.1851157544778,-0.0105765847076063,-0.00273245643927567,0.00490050830831734
"flexible",0.563591194968553,37.8132213578676,2.99627731942781,3.08900693155087,3.18988132428953,2.98580852661188,3.08570161976486,3.19423830399004,-0.0104687928159235,-0.00330531178601312,0.00435697970050297
"flexible",0.569811320754717,38.2513156498348,3.00380777063467,3.09818517376602,3.19960121666408,2.99344772330729,3.09466294162389,3.20339145290923,-0.0103600473273793,-0.0035222321421311,0.00379023624514652
"flexible",0.576031446540881,38.6940372021563,3.01137844515014,3.10712411887334,3.20937781587861,3.00112813369207,3.10430832087361,3.21259623499088,-0.0102503114580745,-0.00281579799972675,0.00321841911226661
