"arm","probability","CRP","lower","median","upper"
"truth",0.551150943396227,36.9503095155721,3.07517547049908,3.07517547049908,3.07517547049908
"flexible",0.55737106918239,37.3796016516968,2.98878490110126,3.07961798151775,3.18021524616948
"gaussian",0.55737106918239,37.3796016516968,2.87096477739485,2.94571234304806,3.05100059851906
"truth",0.55737106918239,37.3796016516968,3.08450574537123,3.08450574537123,3.08450574537123
"flexible",0.563591194968553,37.8132213578676,2.99627731942781,3.08900693155087,3.18988132428953
"gaussian",0.563591194968553,37.8132213578676,2.87955774137094,2.95375018634337,3.05912027012545
"truth",0.563591194968553,37.8132213578676,3.09388566462718,3.09388566462718,3.09388566462718
"flexible",0.569811320754717,38.2513156498348,3.00380777063467,3.09818517376602,3.19960121666408
"gaussian",0.569811320754717,38.2513156498348,2.88826594908362,2.96174139851377,3.06734568647575
"truth",0.569811320754717,38.2513156498348,3.10331796228249,3.10331796228249,3.10331796228249
"flexible",0.576031446540881,38.6940372021563,3.01137844515014,3.10712411887334,3.20937781587861
"gaussian",0.576031446540881,38.6940372021563,2.89693514949363,2.97021788722067,3.07568046230859
"truth",0.576031446540881,38.6940372021563,3.11280544695068,3.11280544695068,3.11280544695068
"flexible",0.582251572327044,39.14154470664,3.01899159314929,3.11611643101428,3.21921409744014
"gaussian",0.582251572327044,39.14154470664,2.90496296725881,2.97926858831813,3.08412836850409
"truth",0.582251572327044,39.14154470664,3.12235100788876,3.12235100788876,3.12235100788876
"flexible",0.588471698113208,39.5940032562249,3.02664952946814,3.12497959038615,3.22918759151683
"gaussian",0.588471698113208,39.5940032562249,2.91256600222754,2.98864994127183,3.09269334210463
"truth",0.588471698113208,39.5940032562249,3.13195762140111,3.13195762140111,3.13195762140111
"flexible",0.594691823899371,40.0515847566925,3.03435463881405,3.1336958370767,3.23948608119665
"gaussian",0.594691823899371,40.0515847566925,2.92027540301993,2.99825238246616,3.10137949709816
"truth",0.594691823899371,40.0515847566925,3.14162835763992,3.14162835763992,3.14162835763992
"flexible",0.600911949685535,40.5144683688495,3.04210938130352,3.14247003205136,3.24985725404595
"gaussian",0.600911949685535,40.5144683688495,2.92809494039678,3.00790020696164,3.11019113603758
"truth",0.600911949685535,40.5144683688495,3.15136638784344,3.15136638784344,3.15136638784344
"flexible",0.607132075471698,40.982840984109,3.0499162983623,3.15123355222123,3.26037428524813
"gaussian",0.607132075471698,40.982840984109,2.93602856066195,3.01741583431738,3.11913276257733
