"replicate","arm","quantile","time","value"
8,"flexible","q10",8,0.0396605162834661
8,"flexible","q10",12,0.00237023755636931
8,"flexible","q50",0.25,9.03522596495378
8,"flexible","q50",0.5,8.02030788298879
8,"flexible","q50",1,6.33156331186357
8,"flexible","q50",2,4.02286002127475
8,"flexible","q50",4,1.6472695544425
8,"flexible","q50",8,0.269799363220982
8,"flexible","q50",12,0.0443820261018258
8,"flexible","q90",0.25,12.087917403787
8,"flexible","q90",0.5,10.6662987508148
8,"flexible","q90",1,8.48710948732147
8,"flexible","q90",2,5.82058650959832
8,"flexible","q90",4,3.03970250043838
8,"flexible","q90",8,0.913423640280395
8,"flexible","q90",12,0.283196953233035
9,"truth","q10",0.25,6.24774377225268
9,"truth","q10",0.5,5.62323908157432
9,"truth","q10",1,4.4643676499867
9,"truth","q10",2,2.57899725097421
9,"truth","q10",4,0.733966799028824
9,"truth","q10",8,0.0543969688640314
9,"truth","q10",12,0.00392562031931134
9,"truth","q50",0.25,8.48067086584799
9,"truth","q50",0.5,7.58197373655724
9,"truth","q50",1,6.05096989107465
9,"truth","q50",2,3.92836790594524
9,"truth","q50",4,1.68813448818037
9,"truth","q50",8,0.306565548150483
9,"truth","q50",12,0.0557052827728727
9,"truth","q90",0.25,11.464796581399
9,"truth","q90",0.5,10.1462773962201
9,"truth","q90",1,8.08004671556735
9,"truth","q90",2,5.55451076010246
9,"truth","q90",4,2.94369364738675
9,"truth","q90",8,0.926657074380812
9,"truth","q90",12,0.301350108447867
9,"gaussian","q10",0.25,6.32968058687553
9,"gaussian","q10",0.5,5.54910978054354
9,"gaussian","q10",1,4.10480428392668
9,"gaussian","q10",2,2.01174709879371
9,"gaussian","q10",4,0.425512292655714
9,"gaussian","q10",8,0.0177136413793043
9,"gaussian","q10",12,0.000721622745379661
9,"gaussian","q50",0.25,8.52844464851918
9,"gaussian","q50",0.5,7.46084575770347
9,"gaussian","q50",1,5.73384483191712
9,"gaussian","q50",2,3.47654201904918
9,"gaussian","q50",4,1.28206908343512
9,"gaussian","q50",8,0.171340937741951
9,"gaussian","q50",12,0.0229007639468522
9,"gaussian","q90",0.25,11.4341555329048
9,"gaussian","q90",0.5,9.9590437563668
9,"gaussian","q90",1,7.77021233021578
9,"gaussian","q90",2,5.144466664344
9,"gaussian","q90",4,2.53635281771174
9,"gaussian","q90",8,0.673956343368567
9,"gaussian","q90",12,0.18614467916386
9,"flexible","q10",0.25,6.45296689986656
9,"flexible","q10",0.5,5.76201570016197
9,"flexible","q10",1,4.49823001562576
9,"flexible","q10",2,2.49197012878418
9,"flexible","q10",4,0.654651245690485
9,"flexible","q10",8,0.04182262212796
9,"flexible","q10",12,0.00262839338521374
